Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
Q_295,79361.52,86275.62,79639.77,96281.19,85496.01,95540.45,74638.36,89002.93,76870.95,82506.44,83238.1,97835.95,77138.11,93130.35,79881.25,97336.25,84657.49,92996.27,68589.3,85353.15,82102.08,85740.47,63598.08,65793.55,89835.92,80300.2,78105.53,78787.3,79262.44,76649.61,69413.5,58096.0,72760.14,74822.91,81688.18,69609.08,65599.2,82823.48,87829.43,79988.73,73995.67,74517.9,48832.69,63882.38,71918.6,71233.09,71233.59,64826.65,72719.49,86879.22,77670.72,91599.19,62185.92,60862.89,67302.41,68793.57,74702.41,68586.55,73671.22,75761.9,76001.18,70900.63,69616.44,80121.95,78903.95,68181.42,71739.52,70604.11,40813.98,76179.99,74586.43,67432.04,77962.38,81561.11,75504.3,71438.26,63063.75,62369.23,66219.09,67892.58,68606.65,72578.56,73836.25,69469.61,86355.12,86473.2,80138.93,83016.02,52276.24,72336.82,91354.46,74783.79,69232.72,84032.46,34734.94,57741.53
rNA,32880.3,43666.7,40922.9,46361.95,41964.1,48117.72,43542.57,47734.95,40645.69,52264.73,37176.43,43201.22,27076.68,31949.59,27550.49,29448.47,27252.57,33157.23,22518.1,33224.86,32165.27,27395.45,23263.05,22990.53,26437.92,31755.1,28664.7,29019.92,24685.28,27730.86,25106.03,21678.59,26450.56,25797.88,27168.89,24754.4,20004.54,22881.44,23396.0,20597.99,19610.86,23799.4,12326.16,16720.36,19763.54,20048.96,19459.15,16396.12,21702.04,18403.28,20992.52,28089.48,15181.46,18303.28,19990.92,20715.42,24250.87,18396.06,20986.49,20304.79,21579.3,17571.73,18028.68,20813.44,21363.8,20093.2,18598.71,18949.39,11175.38,17916.9,20797.01,17728.04,21192.31,20776.69,20240.53,15600.07,15501.51,15229.03,15580.36,17309.76,18184.24,19984.86,17523.87,20594.68,27328.76,21494.83,18636.28,28692.92,10991.34,23838.73,30585.02,18540.13,21052.31,27008.76,11204.11,15338.65
s2U,3705.24,4510.27,3997.2,4818.6,4017.03,4896.62,3341.26,4753.08,4296.59,4014.51,4541.96,5495.39,3282.5,4410.15,4316.34,4642.69,4896.87,5110.93,3645.32,3958.63,4317.54,4134.8,2973.37,3714.74,4523.7,3508.43,3939.24,4229.55,4783.86,3754.29,3715.81,3513.3,3938.41,4112.43,4123.01,4024.42,3576.65,4161.32,4642.42,4042.61,4538.77,4225.19,2763.1,3183.12,4279.87,3616.26,4125.88,3528.14,3765.24,4226.49,3717.38,4365.09,3599.89,3860.69,3188.18,3489.17,3528.86,3795.77,3712.86,4316.9,4137.5,4276.32,3708.52,4377.35,3981.41,3461.64,3376.68,3981.25,2990.19,3974.69,4397.7,3987.78,4445.63,4135.33,3676.71,3680.6,3436.46,3589.59,3450.03,3858.87,3850.21,4407.03,4037.95,4988.56,4794.3,4296.72,4261.4,4213.25,3182.11,0,4967.98,4118.14,4696.34,5131.99,1983.9,3530.03
s4U,338063.44,380757.96,340020.39,430787.57,356737.5,454743.3,328566.93,414060.54,346180.7,374825.41,377941.09,424753.39,312465.66,384240.77,324283.51,389481.5,359761.58,399674.54,250880.22,376456.65,332803.74,337652.49,271308.14,284864.58,350419.75,346780.64,333480.37,343384.41,326792.56,339702.63,296521.64,235909.05,289976.25,308986.87,335738.44,312073.34,272000.12,355216.81,365879.79,322747.46,287845.68,325384.97,190565.63,263625.98,305724.2,285645.23,317243.13,273451.28,298174.65,347825.85,307301.68,406773.39,249909.32,271612.67,287521.04,278827.31,328620.69,295229.36,316836.8,326257.4,313026.95,276582.0,281277.6,337384.16,322756.81,289301.31,294314.47,306195.71,151652.65,321119.48,340021.84,289006.99,338198.33,331217.39,324841.79,298876.8,251939.12,267834.27,276874.05,289715.84,295578.92,320001.07,325694.36,327454.84,418049.63,365261.22,352236.82,401759.41,216190.34,355974.63,423596.67,361184.27,260881.74,327313.69,159545.2,243633.32
se2U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6A,94411.05,98884.07,95057.72,110148.06,100979.35,118085.94,88429.86,106318.1,87877.55,99790.74,95599.24,113044.04,94227.33,113058.84,96125.69,111894.35,102150.39,113180.57,83391.48,106396.61,97546.84,99406.52,74143.64,77293.79,107474.91,102356.19,94570.12,93313.57,99353.31,91772.97,89355.31,73329.79,84432.42,90094.81,90734.24,85275.31,84887.64,105409.54,103920.36,105013.54,99251.14,90751.7,63339.37,77987.44,84711.23,83287.19,89540.41,79382.86,88448.21,106426.56,90257.92,108845.37,80745.17,73358.19,84355.21,87698.41,91376.22,88522.69,89036.07,90715.31,95434.98,89761.89,86466.18,96157.22,99088.3,80240.76,87872.94,92029.76,49134.01,95117.01,95169.83,84567.57,102077.36,98711.12,95058.84,87033.36,76703.8,82628.61,81713.48,87768.31,83770.69,94253.99,90458.04,89415.84,99439.69,105609.29,104745.86,99154.77,64743.99,91916.99,111329.9,95928.64,83721.97,107047.59,44227.62,74408.49
Um,24827.18,26043.79,23691.04,27412.32,23496.25,28678.41,23211.32,26826.85,21916.26,24051.5,23944.52,28539.74,23585.94,27685.12,24634.13,28306.71,25912.08,29338.13,20573.95,28167.65,24443.9,24860.65,19087.08,19955.98,28636.06,26288.87,26046.75,24327.07,24547.89,24674.22,22133.47,19259.31,20948.79,24454.49,24743.51,20342.98,23177.43,27818.99,29934.0,26114.22,22740.88,23890.26,16623.68,20971.84,23012.7,22421.93,24263.47,19905.93,25344.1,28551.35,25063.38,30037.71,21619.74,22903.4,23655.73,22845.72,21482.65,23552.5,24877.12,23513.38,26261.36,23246.77,23175.41,27072.99,28126.3,23028.51,24219.2,24596.78,13448.17,26674.95,26431.82,21323.51,27231.23,27936.8,26163.3,25966.51,21879.28,22388.7,23526.37,23600.99,23618.39,25153.46,24581.69,24059.42,30371.32,29048.94,29462.1,28134.82,19894.28,25773.23,27425.49,24741.63,22752.41,28466.18,12052.56,19535.29
Y_191,13749.54,17335.93,13644.31,16969.55,15679.53,18952.77,15852.09,17841.74,16171.4,18295.37,15890.92,19174.21,14572.62,19331.89,15754.95,17561.73,17844.97,18034.92,13629.68,17726.65,17241.39,18267.33,12801.29,16148.45,17212.79,18017.01,15571.81,16582.61,17786.64,15070.2,15786.78,13136.4,16951.76,17119.78,17225.77,16085.79,15743.9,19129.53,17285.71,16869.33,13216.46,14485.7,13198.68,13841.81,14575.5,16679.0,16191.41,14361.97,15564.12,18573.72,16936.37,19145.53,14164.28,12095.31,16778.76,15963.37,16781.33,16368.13,16709.19,18565.79,17714.85,16652.8,16161.35,17368.88,18599.75,14612.29,15222.25,16801.18,7983.43,16847.13,17432.62,15982.45,18168.08,18851.61,17606.54,15000.22,14361.88,14950.87,14919.01,15290.9,15667.95,17130.95,15898.8,17306.67,19456.38,18509.35,18775.39,15544.46,12753.76,16880.95,21386.73,17593.49,15931.34,19678.65,7864.91,13690.58
Y_209,4173.43,3867.88,6932.26,8597.26,3121.01,8015.63,8716.9,5774.67,4821.54,7267.76,4761.4,2638.95,4720.11,4737.24,4410.49,1936.8,4431.13,5498.28,3789.81,4132.92,5345.7,3687.23,2692.27,3060.82,4725.87,2003.86,6473.59,1809.52,2253.06,3918.01,2918.94,7618.75,5087.21,4438.05,3654.17,6344.11,2362.62,7771.37,7660.12,2078.95,2653.42,1621.57,2936.61,6749.62,1761.67,3312.33,4042.81,2239.5,3545.5,2500.48,2230.82,3809.43,3031.98,1576.68,2456.18,2042.39,2587.18,6692.73,4004.09,2370.58,2481.85,2597.05,1777.49,2129.19,2507.6,2014.19,4742.99,2909.36,932.02,2947.92,2190.5,1841.71,1193.0,2523.76,2451.37,2438.92,1791.88,1686.13,2036.81,2218.36,1260.66,2236.71,1838.51,2799.51,2338.5,2275.11,2908.98,4327.01,1748.65,2901.83,3145.72,2296.11,1249.62,2490.68,1195.9,1332.53
ct6A_162,12484.69,12630.22,12104.57,14912.37,13258.06,15173.6,11085.9,13802.63,12153.52,12230.5,13130.85,13997.21,11452.36,13281.21,11853.59,14615.16,12500.8,14172.36,9644.69,13468.53,12951.11,11749.93,9812.02,9401.28,12643.12,12571.28,11279.73,12193.78,12835.57,12694.16,11198.06,9136.96,10442.35,11040.39,11492.6,9822.97,9696.9,13386.53,13177.98,11676.79,10528.35,10414.01,7233.21,9855.85,11590.58,9556.08,10779.82,9360.91,10820.87,13661.18,10428.64,13794.73,9206.18,10019.44,9564.66,10217.33,11021.73,10835.7,10881.38,10569.67,11368.88,10157.96,8657.21,13093.18,11921.16,10086.36,10737.3,10235.78,6569.11,11187.49,12203.58,9919.68,11675.81,10951.66,11204.76,10373.12,9051.26,9781.1,10405.26,10859.07,9949.75,11048.12,11531.04,9958.91,12937.17,12355.23,11670.62,13998.78,6872.27,11783.22,13002.24,10908.65,10567.94,12665.04,5705.2,8035.53
cm5U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cm5Um,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmnm5s2U_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmnm5s2U_216,0,1333.0,0,0,0,0,839.0,1427.0,1165.0,1101.0,0,0,2026.0,1738.0,2833.0,0,2894.0,0,1901.0,2317.0,0,2168.0,0,0,0,2829.0,3777.0,3265.0,2574.0,0,3259.0,0,3680.0,3677.0,2986.0,1976.0,3209.0,3453.0,4267.0,5720.0,3237.0,0,2995.0,4958.0,0,3245.0,0,2194.0,2818.0,4075.0,3414.0,6389.0,5049.0,0,3302.0,4481.0,5752.0,0,4318.0,2732.0,4468.0,3132.0,3539.0,4870.0,4495.0,0,4507.0,4623.0,0,0,0,4939.0,3908.0,3592.0,3231.0,5585.0,2757.0,4303.0,3473.0,5067.0,4421.0,3271.0,0,4452.0,0,7211.0,0,0,2416.0,0,2352.0,1414.0,6595.0,6698.0,0,5515.0
cmnm5U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmnm5Um,3849.0,0,0,4030.0,0,4185.0,0,2603.0,0,0,3544.0,0,0,0,0,0,0,4039.0,4172.0,0,2905.0,0,0,4819.0,0,0,0,3352.0,0,3911.0,0,0,0,0,0,0,3995.0,0,0,0,0,3289.0,0,0,0,3207.0,0,3077.0,0,0,2643.0,3668.0,2951.0,0,2954.0,0,0,0,2948.0,0,2448.0,0,0,0,2491.0,3613.0,0,0,0,0,0,2716.0,3328.0,3375.0,0,0,0,0,0,3427.0,0,0,0,0,0,3098.0,0,0,3165.0,0,0,1784.0,0,0,0,0
ct6A_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165.0,2490.0,2659.0,4156.0,0,0,0,3785.0,3456.0,4378.0,3187.0,3246.0,3538.0,4155.0,3159.0,3287.0,0,4665.0,4271.0,4475.0,4079.0,3938.0,4016.0,3575.0,3720.0,3872.0,4054.0,3746.0,3240.0,4301.0,4319.0,5182.0,4468.0,4450.0,4333.0,3876.0,2685.0,3740.0,4632.0,3276.0,3586.0,4713.0,4879.0,4533.0,3540.0,4184.0,4784.0,3810.0,4168.0,4400.0,3745.0,4087.0,4977.0,5685.0,4732.0,4310.0,4156.0,4135.0,4654.0,4072.0,3869.0,3363.0,3175.0,2971.0
imG-14,0,0,0,0,0,0,0,0,0,0,0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inm5U,32832.0,37741.0,35002.0,40241.0,34570.0,46525.0,34574.0,42951.0,34899.0,35481.0,36698.0,40543.0,33028.0,38141.0,32639.0,42149.0,36865.0,42468.0,27232.0,40010.0,35042.0,33622.0,28565.0,30860.0,36591.0,35208.0,34355.0,34205.0,33105.0,36821.0,30607.0,25493.0,32780.0,32527.0,34176.0,30374.0,27449.0,37588.0,39515.0,35842.0,31127.0,34499.0,18970.0,29208.0,32208.0,30062.0,35661.0,27677.0,34882.0,40273.0,35166.0,47807.0,29616.0,31895.0,31467.0,32186.0,39738.0,32749.0,36173.0,38024.0,37916.0,32345.0,32835.0,40133.0,41180.0,35042.0,33411.0,37949.0,22591.0,39975.0,40715.0,35116.0,39793.0,39822.0,38523.0,38306.0,30601.0,35689.0,35364.0,35517.0,40257.0,36519.0,41967.0,40367.0,53135.0,48714.0,47511.0,56192.0,26455.0,49762.0,57165.0,43597.0,43214.0,49883.0,22599.0,33186.0
m1G/m2G,770866.0,851781.0,803699.0,1009496.0,805844.0,994373.0,725731.0,893248.0,757812.0,809824.0,808323.0,901939.0,748169.0,872988.0,751286.0,921083.0,819410.0,896208.0,597118.0,854149.0,791716.0,779452.0,629857.0,628398.0,850328.0,788158.0,760781.0,806486.0,772341.0,826317.0,697669.0,609722.0,698826.0,726721.0,756712.0,673272.0,660860.0,836628.0,879187.0,836166.0,711026.0,765562.0,473383.0,672816.0,735119.0,675223.0,747723.0,608452.0,717319.0,819617.0,741635.0,970211.0,632427.0,699308.0,685302.0,728626.0,785646.0,688374.0,748149.0,748600.0,760125.0,714050.0,680511.0,832724.0,792970.0,723090.0,720857.0,731628.0,448025.0,754028.0,801625.0,671686.0,802445.0,801376.0,782705.0,759185.0,631130.0,658411.0,652701.0,697765.0,715333.0,707623.0,770231.0,723450.0,925859.0,876511.0,825639.0,970584.0,538119.0,801869.0,920667.0,797993.0,764530.0,863933.0,404096.0,589258.0
m4Cm/m5Cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m5s2U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m6Am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m6t6A,63506.0,66702.0,62341.0,73272.0,66838.0,77111.0,59385.0,73006.0,61280.0,66361.0,68045.0,77613.0,65507.0,74432.0,69105.0,79176.0,71605.0,78344.0,54051.0,75698.0,72252.0,70311.0,56709.0,57481.0,75209.0,71662.0,69302.0,72161.0,71635.0,70302.0,62456.0,53794.0,60524.0,66609.0,69596.0,61194.0,61451.0,76850.0,79792.0,70549.0,68903.0,69021.0,42412.0,58151.0,65333.0,61148.0,66199.0,61125.0,67464.0,79336.0,67789.0,84806.0,58068.0,55022.0,63142.0,62061.0,68615.0,61441.0,70034.0,66579.0,71125.0,64348.0,64167.0,74047.0,72763.0,61743.0,67070.0,65578.0,40214.0,70341.0,69515.0,62373.0,72031.0,75668.0,70735.0,67714.0,55680.0,59043.0,61946.0,63859.0,61433.0,69926.0,70030.0,65904.0,81754.0,81601.0,79053.0,76579.0,49573.0,69989.0,82812.0,69757.0,62733.0,79240.0,33743.0,53554.0
mnm5U_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnm5U_239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms2t6A_182,0,0,0,0,0,0,291.0,0,0,0,339.0,395.0,0,473.0,0,0,0,253.0,457.0,0,0,392.0,0,408.0,259.0,0,432.0,0,0,0,0,0,0,0,0,0,0,0,0,322.0,0,0,0,0,426.0,0,0,0,354.0,0,470.0,0,0,0,0,370.0,0,390.0,0,0,316.0,0,0,0,425.0,0,350.0,0,309.0,0,366.0,0,290.0,0,467.0,543.0,0,382.0,425.0,314.0,244.0,361.0,0,310.0,382.0,429.0,383.0,199.0,389.0,0,0,382.0,0,380.0,0,396.0
ms2t6A_327,3859.0,0,3434.0,3437.0,3430.0,0,3200.0,0,3725.0,3683.0,3930.0,3173.0,3123.0,0,3770.0,0,3703.0,3363.0,0,3052.0,0,0,0,0,0,2925.0,4026.0,0,0,3347.0,3682.0,3146.0,0,3963.0,3235.0,3105.0,0,0,0,0,3615.0,0,0,0,0,2271.0,0,3451.0,3028.0,3884.0,3426.0,3742.0,3544.0,3264.0,3251.0,0,0,3098.0,2970.0,2836.0,3505.0,2787.0,2957.0,3064.0,3134.0,3341.0,3186.0,3461.0,0,0,0,2790.0,0,0,0,3703.0,0,3712.0,0,0,3083.0,0,0,2934.0,3862.0,0,3870.0,3344.0,3349.0,2702.0,2895.0,3985.0,0,0,3303.0,0
ncm5s2U_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncm5s2U_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncm5U_153,0,0,0,0,0,328.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncm5U_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncm5Um,4303.0,4588.0,0,4650.0,4036.0,4289.0,4620.0,0,0,0,4278.0,0,0,3991.0,0,0,0,0,0,4137.0,0,4657.0,4392.0,4345.0,4562.0,4293.0,0,0,4105.0,4337.0,3978.0,0,4125.0,0,3857.0,4276.0,4646.0,4081.0,0,4422.0,3670.0,0,4195.0,0,3859.0,0,4120.0,3934.0,3589.0,4006.0,4328.0,4238.0,3669.0,3807.0,0,4335.0,4452.0,3955.0,4625.0,4333.0,0,4217.0,4641.0,0,0,0,0,3794.0,4303.0,3950.0,0,0,3966.0,0,3878.0,0,0,0,4052.0,4041.0,4018.0,4209.0,0,4153.0,3965.0,0,0,0,0,0,4552.0,0,0,4447.0,3948.0,0
nm5s2U_158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oQ_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,169.0,0,0,0,128.0,0,0,0,111.0,0,122.0,0,0,0,108.0,0,0,121.0,0,0,0,0,0,0,0,192.0,8120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0,0,200.0,0,556.0,0,0,0,0,0,0,0
oQ_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0,0,0,0,0,0,0,0
preQ1_295,0,0,0,0,0,0,0,0,0,0,0,323.0,0,0,257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,202.0,0,180.0,0,0,0,0,0,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rA,88080773.0,98332697.0,94435085.0,107767246.0,95635262.0,109302989.0,86501337.0,101538394.0,89006095.0,93205645.0,95616538.0,100488066.0,85852499.0,97723637.0,89323552.0,103043483.0,92526411.0,103217440.0,70864066.0,99933439.0,91243461.0,90949470.0,73331301.0,74101706.0,94995494.0,90295985.0,88705204.0,92765186.0,88602229.0,93174834.0,78954246.0,67736993.0,80141000.0,82251361.0,86321843.0,74597398.0,75013906.0,92020713.0,95910443.0,89216951.0,77849586.0,85416382.0,54629601.0,74739600.0,81971304.0,78497650.0,82227106.0,69272754.0,79636300.0,92610595.0,80002980.0,101460650.0,69374977.0,76972763.0,76152662.0,76454300.0,86568627.0,75455787.0,82511655.0,79812937.0,81369344.0,75320354.0,73377743.0,87943812.0,84551264.0,78613548.0,78523077.0,77781240.0,48020546.0,82653484.0,84114235.0,71926933.0,85119488.0,85609038.0,82907032.0,77684512.0,67246330.0,71470387.0,71232436.0,75987626.0,77058095.0,78453443.0,81090448.0,77017004.0,97642377.0,90924687.0,86685335.0,97072757.0,57774159.0,83817391.0,94674052.0,82423445.0,80289867.0,88951784.0,43132688.0,62448824.0
rC,22155160.0,25391068.0,21696766.0,26088624.0,24541627.0,26381246.0,22180695.0,25281221.0,21977495.0,24676091.0,22464860.0,26537383.0,20858373.0,25481559.0,21672811.0,24489348.0,22208497.0,23789267.0,18645764.0,23575238.0,21756568.0,22979187.0,16946157.0,18956193.0,22141846.0,21820321.0,20885450.0,22327927.0,21902323.0,19549103.0,19268484.0,16216091.0,19429021.0,19992344.0,21221288.0,19648980.0,19143401.0,22293353.0,21847884.0,20738295.0,19302016.0,18565862.0,14714064.0,16701436.0,17929132.0,19308055.0,18884071.0,17599066.0,18692425.0,21724401.0,19695318.0,23044006.0,16498620.0,14688792.0,18796742.0,17959166.0,18606776.0,18107856.0,18503691.0,19073908.0,18850130.0,17913847.0,17551078.0,19902740.0,19948141.0,16121872.0,17792910.0,16924614.0,9518403.0,18600978.0,18127971.0,16521953.0,19920745.0,18846629.0,18477016.0,16115891.0,15400826.0,15307962.0,16070525.0,16116393.0,15518960.0,17792884.0,16296889.0,16633065.0,19033443.0,19170389.0,18592513.0,17009409.0,12580276.0,16740973.0,20876394.0,16920155.0,15462520.0,18612686.0,7228289.0,12615040.0
